employee_id,age,gender,education,department,job_role,years_experience,years_at_company,base_salary,bonus_pct,performance_score,training_hours,overtime_flag,work_life_balance,job_satisfaction,attrition
EMP5095,52,Male,Bachelor's,HR,Director,28,12,135400.0,0.127,3,77.0,0,2,4,0
EMP5096,45,Female,Bachelor's,Finance,Manager,20,16,109000.0,0.168,5,56.0,0,3,1,0
EMP5097,50,Female,Bachelor's,Product,Senior Manager,24,12,115400.0,0.24,4,54.0,0,4,3,0
EMP5098,47,Male,Bachelor's,Legal,Manager,25,2,108400.0,0.07,3,51.0,0,3,4,0
EMP5099,23,Female,Master's,HR,VP,0,0,25000.0,0.113,3,79.0,0,4,4,1
EMP5100,32,Male,Master's,Marketing,Manager,10,9,55800.0,0.18,4,34.0,1,3,3,0
EMP5101,55,Male,Bachelor's,Legal,Senior Manager,30,7,126400.0,0.141,4,78.0,1,4,5,0
EMP5102,25,Male,Bachelor's,HR,Director,1,0,34300.0,0.223,3,3.0,0,2,2,0
EMP5103,43,Male,Bachelor's,Product,VP,20,5,115100.0,0.142,3,74.0,0,3,5,0
EMP5104,51,Male,Master's,Product,Senior Manager,26,3,122700.0,0.231,2,75.0,0,4,4,0
EMP5105,38,Female,Bachelor's,Sales,Analyst,12,0,71300.0,0.037,4,21.0,0,5,5,0
EMP5106,28,Male,Master's,Marketing,Senior Manager,6,4,58700.0,0.201,4,58.0,0,3,4,0
EMP5107,22,Female,Master's,Sales,Analyst,0,0,25000.0,0.053,4,31.0,1,3,3,0
EMP5108,47,Male,Bachelor's,Operations,Director,23,15,118800.0,0.012,1,30.0,1,3,4,0
EMP5109,44,Male,Bachelor's,Engineering,Manager,22,7,114700.0,0.028,2,41.0,0,2,5,0
EMP5110,48,Male,Bachelor's,Operations,Director,25,18,118000.0,0.145,1,16.0,0,3,4,0
EMP5111,28,Male,PhD,HR,Analyst,4,0,60700.0,0.073,5,18.0,0,5,5,0
EMP5112,39,Female,Bachelor's,Marketing,Senior Manager,15,6,91400.0,0.036,4,44.0,0,3,1,0
EMP5113,42,Female,Bachelor's,Marketing,Senior Analyst,17,10,89900.0,0.157,3,79.0,1,3,5,0
EMP5114,53,Male,Master's,Product,Senior Manager,29,23,130400.0,0.122,1,1.0,0,5,5,1
EMP5115,29,Male,Bachelor's,Engineering,Analyst,7,2,51000.0,0.095,2,36.0,0,4,5,0
EMP5116,48,Male,Bachelor's,Marketing,Senior Manager,23,22,109500.0,0.134,4,36.0,1,3,4,0
EMP5117,48,Female,Bachelor's,Sales,Senior Manager,25,9,116700.0,0.215,3,59.0,0,4,5,0
EMP5118,44,Male,Bachelor's,Operations,Analyst,22,16,104400.0,0.181,4,79.0,1,4,4,0
EMP5119,25,Male,Master's,Finance,VP,0,0,28300.0,0.124,3,44.0,0,5,4,0
EMP5120,26,Female,Master's,Sales,VP,2,0,27500.0,0.206,3,59.0,0,2,5,0
EMP5121,44,Female,PhD,Sales,Senior Manager,19,13,92000.0,0.216,4,,0,4,3,0
EMP5122,45,Male,Bachelor's,Engineering,Senior Manager,20,11,87200.0,0.094,3,78.0,1,4,5,0
EMP5123,46,Female,Bachelor's,Legal,Manager,24,11,117300.0,0.037,3,76.0,0,5,3,0
EMP5124,51,Female,Bachelor's,Product,Senior Analyst,25,6,118100.0,0.029,2,31.0,0,4,3,1
EMP5125,37,Male,Bachelor's,HR,Analyst,14,8,78000.0,0.16,4,57.0,0,2,4,0
EMP5126,33,Female,Master's,Finance,Senior Manager,8,3,65100.0,0.234,4,6.0,1,5,4,0
EMP5127,56,Male,Bachelor's,Engineering,Senior Manager,31,9,131600.0,0.01,3,46.0,0,3,2,0
EMP5128,48,Male,Bachelor's,Sales,Analyst,26,14,115300.0,0.124,4,77.0,1,4,4,0
EMP5129,42,Male,Bachelor's,Sales,Manager,20,5,88200.0,0.049,3,12.0,1,3,3,0
EMP5130,43,Female,Bachelor's,Product,Senior Manager,17,11,97700.0,0.133,4,69.0,0,4,4,0
EMP5131,50,Male,Master's,HR,Senior Analyst,28,0,132800.0,0.214,4,78.0,1,4,2,0
EMP5132,33,Female,PhD,Legal,Director,10,2,75600.0,0.197,3,45.0,0,5,1,0
EMP5133,38,Male,Master's,Sales,Senior Manager,12,6,84700.0,0.243,5,62.0,1,4,2,0
EMP5134,23,Female,Bachelor's,Sales,Individual Contributor,1,0,30100.0,0.121,3,18.0,0,3,2,1
EMP5135,52,Female,Bachelor's,Sales,Senior Analyst,27,6,118800.0,0.166,3,35.0,0,4,4,0
EMP5136,41,Male,Master's,Sales,Analyst,18,8,78600.0,0.225,4,59.0,1,2,4,0
EMP5137,56,Female,Master's,Sales,Manager,32,15,133200.0,0.174,4,34.0,0,3,4,0
EMP5138,33,Female,Master's,HR,VP,11,4,65900.0,0.241,3,1.0,0,5,4,0
EMP5139,37,Female,Bachelor's,Finance,Individual Contributor,13,11,59000.0,0.061,3,,0,5,3,0
EMP5140,24,Female,Master's,Sales,Director,1,1,25000.0,0.034,5,73.0,0,4,5,0
EMP5141,58,Female,Bachelor's,Marketing,Director,33,12,144800.0,0.037,5,47.0,0,3,4,0
EMP5142,35,Female,Bachelor's,HR,VP,10,5,72100.0,0.213,4,55.0,1,4,2,0
EMP5143,27,Non-Binary,PhD,Marketing,Individual Contributor,3,1,34800.0,0.013,3,12.0,0,4,4,0
EMP5144,45,Female,Master's,Marketing,Individual Contributor,23,1,111500.0,0.202,4,14.0,0,3,3,0
EMP5145,54,Male,Bachelor's,Product,Director,29,13,146400.0,0.116,3,73.0,1,3,3,0
EMP5146,26,Female,Master's,Marketing,Manager,2,1,25000.0,0.173,2,13.0,0,3,3,0
EMP5147,41,Male,Bachelor's,Operations,Analyst,16,8,94700.0,0.186,2,75.0,1,3,4,0
EMP5148,40,Male,High School,Legal,Senior Analyst,15,8,85500.0,0.106,5,4.0,0,4,3,0
EMP5149,27,Female,Master's,Sales,Director,5,1,57600.0,0.037,2,37.0,0,1,3,0
EMP5150,32,Male,Master's,Legal,Analyst,10,5,72700.0,0.154,3,61.0,1,5,4,0
EMP5151,45,Female,Bachelor's,Finance,Individual Contributor,21,13,98200.0,0.239,3,7.0,0,5,4,0
EMP5152,59,Male,Master's,Operations,Senior Manager,33,8,145500.0,0.006,4,10.0,0,3,2,0
EMP5153,26,Female,High School,Operations,Individual Contributor,3,0,28800.0,0.057,4,59.0,0,5,2,0
EMP5154,45,Male,Bachelor's,Sales,Individual Contributor,21,4,99300.0,0.219,3,41.0,0,4,4,0
EMP5155,55,Male,PhD,Marketing,Senior Manager,30,15,135200.0,0.017,4,64.0,0,5,3,0
EMP5156,50,Female,Master's,HR,Manager,24,17,116400.0,0.003,3,28.0,0,5,4,0
EMP5157,53,Female,Master's,Sales,Analyst,28,18,134300.0,0.219,3,,0,3,4,0
EMP5158,56,Female,Bachelor's,Product,Individual Contributor,30,23,147700.0,0.192,3,43.0,0,4,3,0
EMP5159,46,Female,Master's,Legal,Director,20,9,96500.0,0.063,3,5.0,0,2,4,0
EMP5160,23,Female,PhD,Sales,Manager,1,1,42700.0,0.242,5,55.0,0,5,4,0
EMP5161,30,Male,Bachelor's,Sales,Senior Analyst,6,6,53100.0,0.178,4,73.0,0,4,4,0
EMP5162,37,Male,High School,Engineering,VP,12,0,61500.0,0.03,3,16.0,0,4,4,0
EMP5163,58,Male,Bachelor's,HR,Analyst,34,5,147800.0,0.115,5,63.0,0,3,4,0
EMP5164,29,Male,Bachelor's,Sales,Director,7,3,55400.0,0.216,4,16.0,1,1,4,0
EMP5165,54,Female,Bachelor's,Operations,Senior Analyst,29,13,124800.0,0.167,3,73.0,0,2,5,0
EMP5166,46,Male,Master's,Finance,Director,24,5,105700.0,0.146,5,27.0,0,2,4,0
EMP5167,49,Male,Bachelor's,Product,Analyst,26,7,112400.0,0.104,4,51.0,0,3,5,0
EMP5168,25,Male,PhD,Marketing,VP,0,0,25700.0,,4,74.0,1,3,5,0
EMP5169,35,Female,Bachelor's,Product,Senior Manager,9,0,54600.0,0.153,3,44.0,1,5,3,1
EMP5170,39,Non-Binary,Master's,Engineering,Senior Manager,17,16,99300.0,0.038,2,35.0,1,5,5,0
EMP5171,40,Female,PhD,Product,Individual Contributor,17,14,69900.0,0.202,5,,0,4,3,0
EMP5172,55,Male,Bachelor's,HR,Senior Analyst,32,5,142900.0,0.052,4,20.0,0,5,5,0
EMP5173,34,Male,Bachelor's,Finance,Director,10,4,69200.0,0.03,4,3.0,1,4,5,0
EMP5174,55,Male,Master's,Marketing,Senior Manager,29,15,123800.0,0.018,4,41.0,1,5,3,0
EMP5175,54,Male,Bachelor's,Finance,Director,28,12,126100.0,0.204,5,63.0,1,4,3,0
EMP5176,46,Female,Bachelor's,HR,Director,24,10,111300.0,0.117,3,14.0,1,4,4,0
EMP5177,33,Female,High School,Sales,VP,8,4,57400.0,0.1,3,73.0,0,3,3,0
EMP5178,25,Male,Bachelor's,Finance,Manager,3,3,45800.0,0.13,3,61.0,0,4,4,0
EMP5179,31,Male,Master's,Finance,Senior Analyst,7,4,59100.0,0.147,2,52.0,1,4,3,0
EMP5180,45,Male,Master's,Sales,Director,21,12,98700.0,0.22,3,25.0,0,2,4,0
EMP5181,30,Female,PhD,Legal,Director,6,1,39000.0,0.086,3,57.0,0,2,3,0
EMP5182,56,Non-Binary,Master's,Sales,Individual Contributor,30,14,136300.0,0.047,2,78.0,0,5,4,0
EMP5183,37,Male,Bachelor's,Engineering,Director,12,8,66700.0,0.217,4,22.0,1,5,4,0
EMP5184,32,Male,Master's,HR,Senior Analyst,6,4,46800.0,0.12,3,50.0,0,4,4,0
EMP5185,45,Male,Bachelor's,HR,Manager,21,10,105300.0,0.145,3,33.0,0,3,5,0
EMP5186,27,Female,Bachelor's,HR,Director,3,2,37000.0,0.04,4,48.0,0,3,4,0
EMP5187,53,Male,Bachelor's,Product,Manager,29,6,134000.0,0.216,3,20.0,0,1,4,0
EMP5188,42,Male,High School,Marketing,Individual Contributor,19,0,116600.0,0.235,4,23.0,1,5,3,0
EMP5189,57,Female,Bachelor's,Sales,Director,32,10,147500.0,0.112,4,70.0,1,2,3,0
EMP5190,54,Male,High School,Marketing,Manager,31,7,149300.0,0.005,3,14.0,0,3,4,0
EMP5191,25,Male,Bachelor's,HR,VP,3,3,44600.0,0.007,3,67.0,1,4,3,0
EMP5192,56,Male,Master's,Product,Director,32,7,142600.0,0.076,1,6.0,0,4,4,0
EMP5193,23,Male,Bachelor's,Product,Manager,0,0,34200.0,0.123,4,71.0,0,5,3,1
EMP5194,52,Female,PhD,Marketing,Manager,28,26,131800.0,0.108,5,68.0,1,3,3,0
EMP5195,35,Male,Master's,HR,Director,13,5,82400.0,0.142,2,74.0,1,3,4,0
EMP5196,35,Female,Master's,Sales,Senior Analyst,13,10,76000.0,0.064,3,78.0,0,2,4,0
EMP5197,52,Female,Bachelor's,Legal,Director,27,16,114000.0,0.052,4,76.0,0,4,3,0
EMP5198,32,Male,Bachelor's,Engineering,Manager,6,0,39300.0,0.244,4,17.0,1,2,4,0
EMP5199,56,Male,Bachelor's,HR,Individual Contributor,33,31,149200.0,0.07,3,70.0,1,4,5,0
EMP5200,23,Female,Bachelor's,Marketing,Director,0,0,25000.0,0.237,4,79.0,1,3,2,0
EMP5201,28,Female,Bachelor's,HR,VP,4,2,49500.0,0.143,5,43.0,1,3,5,0
EMP5202,35,Female,Bachelor's,Operations,Senior Manager,13,7,86200.0,0.017,3,49.0,0,3,4,0
EMP5203,32,Male,Master's,Sales,Senior Analyst,9,2,59700.0,0.149,4,70.0,0,5,3,0
EMP5204,55,Female,Master's,Legal,Director,29,5,141200.0,0.246,4,62.0,0,4,4,0
EMP5205,56,Female,Bachelor's,Engineering,Director,33,1,147600.0,0.21,2,63.0,0,4,4,0
EMP5206,37,Female,Bachelor's,HR,Senior Analyst,11,6,68700.0,0.076,5,79.0,1,3,4,0
EMP5207,43,Female,Master's,Finance,Individual Contributor,18,5,93600.0,0.024,5,67.0,0,3,3,0
EMP5208,34,Non-Binary,Master's,Product,Analyst,8,3,51400.0,0.115,4,78.0,0,3,3,0
EMP5209,37,Female,Master's,Operations,Manager,13,13,67800.0,0.025,4,73.0,1,5,3,0
EMP5210,34,Male,Master's,Product,Analyst,12,8,58800.0,0.074,4,45.0,0,3,4,0
EMP5211,31,Female,Master's,Marketing,VP,7,5,48600.0,0.23,4,46.0,0,1,4,0
EMP5212,48,Male,Bachelor's,Product,Senior Manager,22,14,124100.0,0.163,3,42.0,1,5,5,0
EMP5213,26,Female,Bachelor's,Finance,Senior Manager,0,0,25000.0,0.196,3,,1,4,3,0
EMP5214,33,Male,High School,Engineering,Individual Contributor,9,1,52100.0,0.135,2,54.0,0,2,4,0
EMP5215,26,Male,Bachelor's,Sales,Senior Manager,4,3,37600.0,0.042,3,48.0,0,2,4,1
EMP5216,39,Male,Master's,Finance,Senior Manager,16,15,79900.0,0.038,4,17.0,0,3,4,0
EMP5217,47,Female,Master's,Operations,Senior Manager,24,24,116200.0,0.191,5,68.0,0,4,5,0
EMP5218,41,Female,Master's,Sales,Individual Contributor,15,0,77600.0,0.107,3,31.0,0,5,5,0
EMP5219,49,Male,Bachelor's,HR,Manager,25,0,115900.0,0.125,4,37.0,0,2,1,0
EMP5220,43,Male,Master's,Operations,Senior Analyst,19,19,89700.0,0.045,4,66.0,1,3,5,0
EMP5221,35,Female,Bachelor's,Engineering,Manager,9,7,57700.0,0.09,3,48.0,1,3,5,0
EMP5222,56,Male,Bachelor's,Product,Senior Manager,34,0,148500.0,0.033,4,8.0,0,3,1,0
EMP5223,45,Non-Binary,Master's,Product,VP,22,19,105900.0,0.051,3,25.0,0,4,4,0
EMP5224,23,Male,High School,Legal,Individual Contributor,0,0,45800.0,0.222,2,36.0,0,2,4,0
EMP5225,27,Female,Bachelor's,Product,Senior Manager,4,4,43800.0,0.179,3,58.0,1,5,4,0
EMP5226,47,Male,Bachelor's,Sales,Senior Manager,23,5,108800.0,0.213,5,25.0,1,3,5,0
EMP5227,22,Non-Binary,Bachelor's,Sales,Individual Contributor,0,0,25000.0,0.219,5,37.0,1,4,5,0
EMP5228,28,Female,Bachelor's,Legal,Director,3,0,42400.0,0.147,4,46.0,0,4,2,0
EMP5229,25,Non-Binary,Master's,Sales,Analyst,1,1,25000.0,0.076,4,43.0,1,4,2,0
EMP5230,52,Male,Bachelor's,Operations,Director,30,9,139400.0,0.123,4,15.0,0,5,2,0
EMP5231,26,Female,High School,Marketing,VP,0,0,31100.0,0.005,3,40.0,0,4,5,0
EMP5232,29,Male,Bachelor's,HR,VP,7,0,60900.0,0.204,3,74.0,0,4,2,0
EMP5233,59,Female,Bachelor's,Finance,Senior Analyst,37,26,154400.0,,1,52.0,0,4,4,0
EMP5234,26,Male,Master's,Finance,Senior Manager,3,2,40700.0,0.127,1,63.0,0,4,4,0
EMP5235,30,Male,Master's,Product,VP,7,2,59900.0,0.094,5,58.0,0,1,3,0
EMP5236,52,Female,Master's,Marketing,Individual Contributor,27,9,117100.0,0.043,4,6.0,0,4,3,0
EMP5237,27,Male,Master's,Finance,Individual Contributor,3,1,45400.0,0.019,4,36.0,0,5,5,0
EMP5238,30,Female,Master's,Operations,VP,4,1,48500.0,0.081,4,26.0,0,4,3,0
EMP5239,52,Female,Bachelor's,Sales,VP,30,1,133900.0,0.234,4,40.0,0,4,4,0
EMP5240,22,Female,Master's,HR,Manager,0,0,42600.0,0.017,4,,1,5,3,0
EMP5241,35,Female,Bachelor's,Marketing,Director,11,7,72600.0,0.237,4,18.0,0,2,2,0
EMP5242,31,Male,Bachelor's,Marketing,Analyst,7,2,41100.0,0.132,2,9.0,0,4,3,0
EMP5243,29,Male,Master's,Engineering,Analyst,7,3,62400.0,0.11,3,4.0,1,5,3,0
EMP5244,36,Female,Master's,HR,Senior Analyst,11,3,63200.0,0.031,4,33.0,0,1,3,0
EMP5245,30,Male,Bachelor's,Finance,Individual Contributor,6,1,57400.0,0.018,2,62.0,0,3,3,1
EMP5246,51,Non-Binary,PhD,Engineering,Senior Analyst,26,14,123400.0,0.136,4,26.0,0,3,4,0
EMP5247,27,Male,Bachelor's,Marketing,Manager,1,1,25000.0,0.15,4,62.0,0,5,3,0
EMP5248,37,Male,Bachelor's,Legal,VP,14,7,83800.0,0.109,4,41.0,0,5,2,0
EMP5249,25,Male,Bachelor's,Product,Analyst,0,0,28200.0,0.072,3,53.0,1,5,5,0
EMP5250,26,Male,Master's,Operations,Senior Analyst,2,1,33300.0,0.003,3,23.0,1,4,4,1
EMP5251,47,Female,PhD,HR,Analyst,24,17,110600.0,0.067,5,33.0,0,4,5,0
EMP5252,39,Female,Master's,Operations,Director,14,0,85300.0,0.179,5,26.0,0,2,4,0
EMP5253,38,Female,Bachelor's,Operations,VP,16,13,78600.0,0.152,3,33.0,0,5,3,0
EMP5254,32,Non-Binary,Bachelor's,Engineering,Individual Contributor,7,6,63400.0,0.04,5,76.0,1,5,4,0
EMP5255,27,Male,Bachelor's,Engineering,VP,1,0,25000.0,0.198,5,9.0,1,4,5,0
EMP5256,55,Male,Master's,Product,VP,32,32,144400.0,0.037,3,69.0,0,2,3,0
EMP5257,52,Female,PhD,Legal,VP,28,13,134200.0,0.199,3,73.0,1,5,3,0
EMP5258,39,Female,Master's,Finance,Individual Contributor,14,5,85000.0,0.128,5,1.0,0,5,2,0
EMP5259,22,Male,Bachelor's,HR,Senior Manager,0,0,31500.0,0.179,4,32.0,0,5,5,1
EMP5260,56,Female,Bachelor's,Engineering,Analyst,30,9,133300.0,0.021,4,48.0,0,4,3,0
